OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;2;18,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;10;19,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;11;20,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;12;21,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;2;22,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;13;23,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;14;24,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;1;21,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;15;25,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;3;26,0,S013,,RD1,D1/T0,RD628 - 4,EF
2;16;27,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;17;28,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;8;29,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;4;30,0,S013,,RD1,D1/T0,RD628 - 4,EF
2;16;31,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;2;32,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;18;33,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;19;21,0,S013,,RD1,D1/T0,RD628 - 4,EF
0;12;34,0,S013,,RD1,D1/T0,RD628 - 4,EF
1;5;9,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;6;12,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;6;13,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;4;14,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;7;15,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;8;16,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;9;17,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;2;18,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;10;19,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;11;20,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;12;21,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;2;22,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;13;23,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;14;24,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;1;21,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;15;25,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;3;26,0,S014,,RD1,D1/T0,RD628 - 4,EF
2;16;27,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;17;28,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;8;29,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;4;30,0,S014,,RD1,D1/T0,RD628 - 4,EF
2;16;31,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;2;32,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;18;33,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;19;21,0,S014,,RD1,D1/T0,RD628 - 4,EF
0;12;34,0,S014,,RD1,D1/T0,RD628 - 4,EF
